Norm,Topic,Agent,Stance,Argument
Norm 1,Freedom of Speech,Agent1,disagree,Agent1 believes this because it encourages innovation.
Norm 1,Freedom of Speech,Agent2,agree,Agent2 believes this because it is risky.
Norm 1,Freedom of Speech,Agent3,disagree,Agent3 believes this because it is fair.
Norm 1,Freedom of Speech,Agent4,disagree,Agent4 believes this because it is risky.
Norm 1,Freedom of Speech,Agent5,neutral,Agent5 believes this because it encourages innovation.
Norm 1,Freedom of Speech,Agent6,disagree,Agent6 believes this because it is fair.
Norm 1,Freedom of Speech,Agent7,agree,Agent7 believes this because it is fair.
Norm 1,Freedom of Speech,Agent8,neutral,Agent8 believes this because it is fair.
Norm 1,Freedom of Speech,Agent9,neutral,Agent9 believes this because it is risky.
Norm 1,Freedom of Speech,Agent10,disagree,Agent10 believes this because it encourages innovation.
Norm 2,Animal Rights,Agent1,neutral,Agent1 believes this because it is fair.
Norm 2,Animal Rights,Agent2,neutral,Agent2 believes this because it is fair.
Norm 2,Animal Rights,Agent3,agree,Agent3 believes this because it is fair.
Norm 2,Animal Rights,Agent4,agree,Agent4 believes this because it encourages innovation.
Norm 2,Animal Rights,Agent5,disagree,Agent5 believes this because it encourages innovation.
Norm 2,Animal Rights,Agent6,neutral,Agent6 believes this because it encourages innovation.
Norm 2,Animal Rights,Agent7,disagree,Agent7 believes this because it is fair.
Norm 2,Animal Rights,Agent8,neutral,Agent8 believes this because it is fair.
Norm 2,Animal Rights,Agent9,agree,Agent9 believes this because it is fair.
Norm 2,Animal Rights,Agent10,neutral,Agent10 believes this because it is risky.
Norm 3,Data Privacy,Agent1,neutral,Agent1 believes this because it is risky.
Norm 3,Data Privacy,Agent2,agree,Agent2 believes this because it is risky.
Norm 3,Data Privacy,Agent3,disagree,Agent3 believes this because it is fair.
Norm 3,Data Privacy,Agent4,disagree,Agent4 believes this because it is fair.
Norm 3,Data Privacy,Agent5,disagree,Agent5 believes this because it is risky.
Norm 3,Data Privacy,Agent6,neutral,Agent6 believes this because it is fair.
Norm 3,Data Privacy,Agent7,neutral,Agent7 believes this because it is fair.
