Norm,Agent1,Agent2,Agent1_Stance,Agent2_Stance,Status
Norm 1,Agent7,Agent3,agree,disagree,defends
Norm 1,Agent8,Agent4,neutral,disagree,defends
Norm 1,Agent3,Agent6,disagree,disagree,attacks
Norm 1,Agent10,Agent6,disagree,disagree,defends
Norm 1,Agent1,Agent3,disagree,disagree,attacks
Norm 2,Agent10,Agent4,neutral,agree,defends
Norm 2,Agent8,Agent5,neutral,disagree,defends
Norm 2,Agent8,Agent9,neutral,agree,attacks
Norm 2,Agent1,Agent8,neutral,neutral,defends
Norm 2,Agent4,Agent6,agree,neutral,attacks
Norm 2,Agent5,Agent10,disagree,neutral,defends
Norm 2,Agent7,Agent6,disagree,neutral,defends
Norm 2,Agent5,Agent1,disagree,neutral,defends
Norm 2,Agent8,Agent2,neutral,neutral,attacks
Norm 2,Agent10,Agent9,neutral,agree,defends
Norm 2,Agent2,Agent10,neutral,neutral,defends
Norm 2,Agent9,Agent10,agree,neutral,attacks
Norm 3,Agent4,Agent1,disagree,neutral,defends
Norm 3,Agent4,Agent9,disagree,agree,defends
Norm 3,Agent3,Agent9,disagree,agree,defends
Norm 3,Agent6,Agent8,neutral,neutral,attacks
Norm 3,Agent8,Agent1,neutral,neutral,defends
Norm 3,Agent7,Agent9,neutral,agree,attacks
Norm 3,Agent2,Agent6,agree,neutral,attacks
Norm 3,Agent3,Agent8,disagree,neutral,defends
Norm 3,Agent4,Agent9,disagree,agree,defends
Norm 3,Agent10,Agent2,neutral,agree,defends
Norm 3,Agent4,Agent1,disagree,neutral,attacks
Norm 3,Agent7,Agent3,neutral,disagree,attacks
Norm 3,Agent3,Agent5,disagree,disagree,defends
Norm 4,Agent7,Agent4,agree,agree,attacks
Norm 4,Agent10,Agent4,disagree,agree,attacks
Norm 4,Agent2,Agent3,agree,agree,attacks
Norm 4,Agent1,Agent10,agree,disagree,defends
Norm 4,Agent9,Agent3,agree,agree,attacks
Norm 4,Agent4,Agent7,agree,agree,attacks
Norm 4,Agent2,Agent10,agree,disagree,attacks
Norm 4,Agent4,Agent1,agree,agree,defends
Norm 4,Agent9,Agent8,agree,disagree,defends
Norm 4,Agent1,Agent10,agree,disagree,defends
Norm 4,Agent1,Agent7,agree,agree,defends
Norm 4,Agent4,Agent5,agree,neutral,defends
Norm 4,Agent6,Agent4,neutral,agree,defends
Norm 4,Agent10,Agent6,disagree,neutral,attacks
Norm 4,Agent1,Agent7,agree,agree,defends
Norm 5,Agent8,Agent10,neutral,agree,attacks
