Norm,Topic,Agent,Stance,Argument
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent1,agree,Agent1 believes this because it ensures fairness.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent2,neutral,Agent2 believes this because it ensures fairness.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent3,disagree,Agent3 believes this because it might cause unintended consequences.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent4,disagree,Agent4 believes this because it aligns with societal values.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent5,disagree,Agent5 believes this because it ensures fairness.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent6,neutral,Agent6 believes this because it encourages innovation.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent7,agree,Agent7 believes this because it promotes ethical practices.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent8,neutral,Agent8 believes this because it encourages innovation.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent9,disagree,Agent9 believes this because it reduces inequality.
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Animal Rights,Agent10,agree,Agent10 believes this because it promotes ethical practices.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent1,agree,Agent1 believes this because it ensures fairness.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent2,agree,Agent2 believes this because it encourages innovation.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent3,neutral,Agent3 believes this because it might cause unintended consequences.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent4,agree,Agent4 believes this because it lacks sufficient evidence to support it.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent5,disagree,Agent5 believes this because it promotes ethical practices.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent6,neutral,Agent6 believes this because it ensures fairness.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent7,disagree,Agent7 believes this because it is too costly to implement.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent8,agree,Agent8 believes this because it aligns with societal values.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent9,disagree,Agent9 believes this because it promotes ethical practices.
"In the context of Universal Basic Income, the norm states that governments must invest at least 50% of their budget into related technologies.",Universal Basic Income,Agent10,agree,Agent10 believes this because it might cause unintended consequences.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent1,agree,Agent1 believes this because it aligns with societal values.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent2,neutral,Agent2 believes this because it reduces inequality.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent3,disagree,Agent3 believes this because it might cause unintended consequences.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent4,neutral,Agent4 believes this because it has significant economic benefits.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent5,agree,Agent5 believes this because it might cause unintended consequences.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent6,agree,Agent6 believes this because it ensures fairness.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent7,disagree,Agent7 believes this because it aligns with societal values.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent8,disagree,Agent8 believes this because it promotes ethical practices.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent9,neutral,Agent9 believes this because it has significant economic benefits.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent10,disagree,Agent10 believes this because it aligns with societal values.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent1,neutral,Agent1 believes this because it reduces inequality.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent2,disagree,Agent2 believes this because it promotes ethical practices.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent3,disagree,Agent3 believes this because it encourages innovation.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent4,agree,Agent4 believes this because it is too costly to implement.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent5,neutral,Agent5 believes this because it has significant economic benefits.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent6,agree,Agent6 believes this because it might cause unintended consequences.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent7,neutral,Agent7 believes this because it encourages innovation.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent8,neutral,Agent8 believes this because it promotes ethical practices.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent9,neutral,Agent9 believes this because it lacks sufficient evidence to support it.
"In the context of Artificial Intelligence, the norm states that international cooperation is mandatory for success.",Artificial Intelligence,Agent10,agree,Agent10 believes this because it lacks sufficient evidence to support it.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent1,disagree,Agent1 believes this because it has significant economic benefits.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent2,disagree,Agent2 believes this because it has significant economic benefits.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent3,agree,Agent3 believes this because it ensures fairness.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent4,neutral,Agent4 believes this because it reduces inequality.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent5,agree,Agent5 believes this because it aligns with societal values.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent6,agree,Agent6 believes this because it is too costly to implement.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent7,agree,Agent7 believes this because it has significant economic benefits.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent8,agree,Agent8 believes this because it has significant economic benefits.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent9,disagree,Agent9 believes this because it could infringe on individual freedoms.
"Regarding Universal Basic Income, it is proposed that research must focus on ethical implications first.",Universal Basic Income,Agent10,disagree,Agent10 believes this because it might cause unintended consequences.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent1,agree,Agent1 believes this because it lacks sufficient evidence to support it.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent2,neutral,Agent2 believes this because it has significant economic benefits.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent3,disagree,Agent3 believes this because it could infringe on individual freedoms.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent4,agree,Agent4 believes this because it ensures fairness.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent5,agree,Agent5 believes this because it is too costly to implement.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent6,agree,Agent6 believes this because it encourages innovation.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent7,agree,Agent7 believes this because it has significant economic benefits.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent8,agree,Agent8 believes this because it might cause unintended consequences.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent9,neutral,Agent9 believes this because it has significant economic benefits.
A new rule in Artificial Intelligence suggests that organizations are required to disclose their related activities publicly.,Artificial Intelligence,Agent10,agree,Agent10 believes this because it reduces inequality.
"In the context of Healthcare Accessibility, the norm states that this effort should not compromise personal freedoms.",Healthcare Accessibility,Agent1,neutral,Agent1 believes this because it ensures fairness.
