Norm,Agent1,Agent2,Agent1_Stance,Agent2_Stance,Status
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent2,agree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent3,agree,disagree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent4,agree,disagree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent5,agree,disagree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent6,agree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent7,agree,agree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent8,agree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent9,agree,disagree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent10,agree,agree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent1,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent3,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent4,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent5,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent6,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent7,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent8,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent9,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent10,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent1,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent2,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent4,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent5,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent6,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent7,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent8,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent9,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent10,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent1,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent2,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent3,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent5,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent6,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent7,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent8,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent9,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent4,Agent10,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent1,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent2,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent3,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent4,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent6,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent7,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent8,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent9,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent5,Agent10,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent1,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent2,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent3,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent4,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent5,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent7,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent8,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent9,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent6,Agent10,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent1,agree,agree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent2,agree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent3,agree,disagree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent4,agree,disagree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent5,agree,disagree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent6,agree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent8,agree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent9,agree,disagree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent7,Agent10,agree,agree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent1,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent2,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent3,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent4,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent5,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent6,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent7,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent9,neutral,disagree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent8,Agent10,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent1,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent2,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent3,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent4,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent5,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent6,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent7,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent8,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent9,Agent10,disagree,agree,attack
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent10,Agent1,agree,agree,defended
"Regarding Animal Rights, it is proposed that individuals should prioritize this issue over other social problems.",Agent10,Agent2,agree,neutral,neutral
