Norm,Agent1,Agent2,Agent1_Stance,Agent2_Stance,Status
Norm1,Agent3,Agent5,agree,disagree,defends
Norm1,Agent1,Agent5,agree,disagree,defends
Norm1,Agent2,Agent5,disagree,disagree,attacks
Norm1,Agent5,Agent1,disagree,agree,attacks
Norm1,Agent4,Agent5,agree,disagree,defends
Norm1,Agent3,Agent2,disagree,agree,defends
Norm2,Agent1,Agent2,neutral,neutral,attacks
Norm2,Agent2,Agent4,agree,agree,attacks
Norm2,Agent1,Agent2,neutral,disagree,attacks
Norm3,Agent5,Agent2,disagree,neutral,defends
Norm3,Agent3,Agent1,agree,disagree,defends
Norm3,Agent1,Agent4,neutral,agree,attacks
Norm4,Agent3,Agent4,neutral,disagree,attacks
Norm4,Agent2,Agent1,agree,disagree,attacks
Norm4,Agent4,Agent2,agree,neutral,defends
Norm4,Agent1,Agent3,neutral,disagree,defends
Norm4,Agent1,Agent5,agree,agree,attacks
Norm4,Agent2,Agent1,agree,disagree,defends
Norm5,Agent4,Agent3,disagree,neutral,attacks
Norm5,Agent2,Agent1,neutral,disagree,attacks
Norm5,Agent1,Agent3,neutral,agree,defends
Norm5,Agent1,Agent5,neutral,neutral,attacks
